Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,907.596863,941.079529,867.427673,875.748779,872.472778,18769636
2020-03-24,921.267334,960.891724,887.388428,934.541504,931.045593,21106643
2020-03-25,954.749939,1140.736938,954.205078,1072.087646,1068.077148,33749620
2020-03-26,1085.510498,1106.412354,1032.562378,1056.188354,1052.237427,21111073
2020-03-27,1084.718018,1096.902466,1036.376221,1055.593994,1051.645264,19225132
2020-03-30,1030.828735,1064.707642,1010.422180,1020.774109,1016.955627,13951078
2020-03-31,1063.865601,1119.191162,1038.159302,1103.291870,1099.164673,20441125
2020-04-01,1111.712036,1114.040039,1035.385620,1070.304565,1066.300781,19197220
2020-04-03,1123.797485,1123.797485,1046.381348,1067.332764,1063.340088,19091236
2020-04-07,1091.751343,1202.600586,1089.671021,1194.774780,1190.305420,25093419
2020-04-08,1168.919800,1217.459717,1149.107666,1180.955688,1176.537964,23019764
2020-04-09,1202.600586,1221.223999,1181.797729,1208.494629,1203.973877,15244658
2020-04-13,1192.644897,1203.591187,1168.919800,1177.983887,1173.577271,10925447
2020-04-15,1185.809692,1224.393921,1132.267212,1139.052856,1134.791870,16301024
2020-04-16,1139.052856,1176.299805,1134.248413,1157.082031,1152.753662,17285802
2020-04-17,1204.581787,1218.450317,1181.451050,1212.506592,1207.970825,15353792
2020-04-20,1214.487915,1245.196777,1190.713257,1232.120728,1227.511597,16628269
2020-04-21,1198.638062,1240.243774,1153.070068,1225.731323,1221.146118,28322996
2020-04-22,1307.605225,1371.895752,1287.792969,1350.795776,1345.742676,65848350
2020-04-23,1354.510620,1372.836914,1340.592529,1358.027222,1352.947144,30211857
2020-04-24,1337.472046,1480.912476,1334.549805,1403.694336,1398.443359,62296159
2020-04-27,1420.534790,1461.149780,1409.638062,1416.324707,1411.026489,26989849
2020-04-28,1436.384521,1441.783325,1379.077759,1414.739624,1409.447388,36206232
2020-04-29,1431.332397,1440.000244,1406.666260,1413.550903,1408.263062,17303785
2020-04-30,1440.297363,1480.912476,1424.546753,1452.234253,1446.801758,32926121
2020-05-04,1426.478394,1451.243652,1404.140137,1421.723511,1416.405151,24670336
2020-05-05,1440.049805,1465.112183,1433.610840,1446.934448,1441.521729,20723079
2020-05-06,1450.253052,1471.006348,1431.926758,1447.033569,1441.620483,18685710
2020-05-07,1441.337524,1499.436890,1431.431519,1492.799805,1487.215576,23087436
2020-05-08,1530.492432,1565.064697,1522.666626,1547.134766,1541.347290,38887255
2020-05-11,1565.163818,1599.835205,1557.536133,1561.993896,1556.150757,30959745
2020-05-12,1550.106567,1553.623169,1451.243652,1465.359863,1459.878296,46465281
2020-05-13,1527.000000,1527.000000,1454.000000,1496.449951,1490.852051,30657492
2020-05-14,1469.000000,1496.699951,1430.050049,1435.949951,1430.578369,22736607
2020-05-15,1444.000000,1466.699951,1415.099976,1459.400024,1453.940674,28683258
2020-05-18,1470.000000,1482.000000,1428.000000,1440.750000,1435.360474,28980385
2020-05-19,1457.000000,1461.699951,1403.250000,1408.900024,1403.629639,19528760
2020-05-20,1410.000000,1446.849976,1393.000000,1433.699951,1428.336792,25530626
2020-05-21,1435.000000,1461.449951,1425.000000,1441.250000,1435.858643,18076017
2020-05-22,1451.800049,1458.000000,1426.500000,1431.550049,1426.194946,17458065
2020-05-26,1448.150024,1449.699951,1416.300049,1424.050049,1418.723022,15329472
2020-05-27,1431.000000,1454.000000,1412.000000,1445.550049,1440.142578,16460756
2020-05-28,1455.000000,1479.750000,1449.000000,1472.250000,1466.742676,18518271
2020-05-29,1468.000000,1472.000000,1452.650024,1464.400024,1458.921997,18470390
2020-06-01,1480.000000,1538.349976,1475.949951,1520.349976,1514.662720,18434012
2020-06-02,1526.000000,1540.000000,1520.800049,1535.699951,1529.955200,10224049
2020-06-03,1545.000000,1560.000000,1533.349976,1541.650024,1535.883057,11713461
2020-06-04,1544.000000,1589.500000,1541.000000,1579.800049,1573.890381,15784379
2020-06-05,1595.000000,1618.000000,1573.699951,1581.699951,1575.783203,15264885
2020-06-08,1618.400024,1618.400024,1565.000000,1569.500000,1563.628784,14497996
2020-06-09,1560.300049,1583.000000,1533.000000,1537.150024,1531.399902,11933076
2020-06-10,1543.099976,1579.550049,1540.050049,1572.150024,1566.268921,10214213
2020-06-11,1566.000000,1567.949951,1531.000000,1537.699951,1531.947754,9408046
2020-06-12,1500.000000,1593.000000,1497.000000,1588.800049,1582.856689,17790311
2020-06-15,1565.000000,1626.949951,1561.099976,1614.550049,1608.510376,24509058
2020-06-16,1643.000000,1648.550049,1585.300049,1617.699951,1611.648438,23622794
2020-06-17,1608.250000,1635.449951,1602.099976,1615.349976,1609.307251,19282411
2020-06-18,1607.000000,1665.000000,1605.599976,1655.900024,1649.705688,18677617
2020-06-19,1670.000000,1788.800049,1662.000000,1759.400024,1752.818481,48828609
2020-06-22,1773.400024,1804.199951,1735.000000,1746.150024,1739.618042,27781693
2020-06-23,1750.000000,1763.750000,1716.099976,1720.900024,1714.462524,17519493
2020-06-24,1735.900024,1772.699951,1711.699951,1727.849976,1721.386475,23807033
2020-06-25,1727.000000,1749.000000,1713.050049,1717.900024,1711.473755,18312025
2020-06-26,1728.800049,1752.000000,1717.000000,1741.650024,1735.134888,14270458
2020-06-29,1728.050049,1739.750000,1715.550049,1723.150024,1716.704102,11824524
2020-06-30,1737.000000,1741.000000,1695.550049,1704.099976,1697.725342,13972563
2020-07-01,1720.000000,1749.000000,1708.050049,1737.599976,1731.099976,13136179
2020-07-02,1743.000000,1767.599976,1735.050049,1760.349976,1760.349976,13286365
2020-07-03,1779.800049,1793.000000,1768.000000,1787.900024,1787.900024,13583909
2020-07-06,1805.000000,1858.000000,1792.099976,1851.800049,1851.800049,21697962
2020-07-07,1860.000000,1864.349976,1806.300049,1823.449951,1823.449951,16239990
2020-07-08,1824.050049,1834.949951,1790.000000,1798.000000,1798.000000,12093186
